"sku","product-id","product-id-type","product-name","brand","bullet-point1","bullet-point2","bullet-point3","bullet-point4","bullet-point5","product-description","clothing-type","size","size-modifier","color","color-map","material-fabric1","material-fabric2","material-fabric3","department1","department2","department3","department4","department5","style-keyword1","style-keyword2","style-keyword3","style-keyword4","style-keyword5","occasion-lifestyle1","occasion-lifestyle2","occasion-lifestyle3","occasion-lifestyle4","occasion-lifestyle5","cpsia-warning1","cpsia-warning2","cpsia-warning3","cpsia-warning4","cpsia-warning-description","search-terms1","search-terms2","search-terms3","search-terms4","search-terms5","size-map","waist-size-unit-of-measure","waist-size","inseam-length-unit-of-measure","inseam-length","sleeve-length-unit-of-measure","sleeve-length","neck-size-unit-of-measure","neck-size","chest-size-unit-of-measure","chest-size","cup-size","shoe-width","parent-child","parent-sku","relationship-type","variation-theme","main-image-url","swatch-image-url","other-image-url1","other-image-url2","other-image-url3","other-image-url4","other-image-url5","other-image-url6","other-image-url7","other-image-url8","shipping-weight-unit-measure","shipping-weight","product-tax-code","launch-date","release-date","msrp","item-price","sale-price","currency","fulfillment-center-id","sale-from-date","sale-through-date","quantity","leadtime-to-ship","restock-date","max-aggregate-ship-quantity","is-gift-message-available","is-gift-wrap-available","is-discontinued-by-manufacturer","registered-parameter","update-delete"
"379204-061-5","676556013827","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (5 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","5 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"379204-061-5.5","676556013834","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (5.5 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","5.5 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"379204-061-6","676556013933","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (6 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","6 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"379204-061-6.5","676556013940","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (6.5 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","6.5 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"379204-061-7","676556013957","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (7 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","7 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"379204-061-7.5","676556016309","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (7.5 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","7.5 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"379204-061-8","676556016774","UPC","Nike Women’s Summer Lite III Golf Shoes (Medium) (8 D(M), Black/Alarming)","Nike",,,,,,,"Shoes","8 D(M)",,"Black/Alarming",,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"child","NKFWWSU-L","Variation","SizeColor",,,,,,,,,,,"LB","3","A_GEN_NOTAX",,,"100",79.99,,"USD",,,,0,"3",,,,,,,
"NKFWWSU-L",,,"Nike Women’s Summer Lite III Golf Shoes","Nike","Mesh and synthetic leather combination","Visible Nike Air unit in heel","Full-length comfort sockliner and full-length Phylon midsole","Phylite and TPU Nike Power Platform outsole","Integrated Traction ","An air-flow ventilation feature and upper made mostly of mesh make the Air Summer Lite III golf shoe ideal when temperatures climb.","Shoes",,,,,,,,"womens",,,,,"golf-shoes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"parent",,,"SizeColor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
