"TemplateType=Sports","Version=1.1/1.0.14","This row for Amazon.com use only.  Do not modify or delete.",,,,,,,,,,,,"Offer Information - These attributes are required to make your item buyable for customers on the site",,,,,,,,,,,,,,,,,,,,,,"Sales Price information",,,"Item discovery information - These attributes have an effect on how customers can find your product on the site.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Image Information - see Image Info tab for details.",,,,,,,,,,"Variation information",,,,"Information for all product types:",,"FBA - make use of these columns if you are participating in the ""Fulfillment by Amazon"" program",,,,,,,,"Other attributes for Golf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Other attributes for all SportingGoods categories",,,,,,,,,,,,,,,,,,,,"Product Dimensions",,,,,,,,,,,,"Price per unit",,"Battery Information",,,,,,,,,,,,,,,,,,,,"Common infrequently used attributes ",,,,
"SKU","ProductID","product-id-type","ProductName","ProductDescription","Manufacturer","ManufacturerPartNumber","BulletPoint1","BulletPoint2","BulletPoint3","BulletPoint4","BulletPoint5","ProductType","Brand","ItemPrice","Currency","ConditionType","ConditionNote","Quantity","MSRP","MAP","LaunchDate","ReleaseDate","RestockDate","LeadtimeToShip","ShippingWeight","ShippingWeightUnitOfMeasure","ProductTaxCode","Warranty","SellerWarrantyDescription","Prop65","CPSIAWarning1","CPSIAWarning2","CPSIAWarning3","CPSIAWarning4","CPSIAWarningDescription","SalesPrice","SaleStartDate","SaleEndDate","ItemType","UsedFor1","UsedFor2","UsedFor3","UsedFor4","UsedFor5","TargetAudience1","TargetAudience2","TargetAudience3","OtherItemAttributes1","OtherItemAttributes2","OtherItemAttributes3","OtherItemAttributes4","OtherItemAttributes5","SubjectContent1","SubjectContent2","SubjectContent3","SubjectContent4","SubjectContent5","SearchTerm1","SearchTerm2","SearchTerm3","SearchTerm4","SearchTerm5","PlatinumKeyword1","PlatinumKeyword2","PlatinumKeyword3","PlatinumKeyword4","PlatinumKeyword5","MainImageURL","SwatchImageURL","OtherImageURL1","OtherImageURL2","OtherImageURL3","OtherImageURL4","OtherImageURL5","OtherImageURL6","OtherImageURL7","OtherImageURL8","Parentage","ParentSKU","RelationshipType","VariationTheme","Color","ColorMap","FulfillmentCenterID","PackageHeight","PackageWidth","PackageLength","PackageLengthUnitOfMeasure","PackageWeight","PackageWeightUnitOfMeasure","MaxAggregateShipQuantity","GolfFlex","GolfLoft","GripSize","GripType","Hand","ShaftLength","ShaftLengthUnitOfMeasurement","ShaftMaterial","Wattage","EngineDisplacement","EngineDisplacementUnitOfMeasure","GripMaterialType","OperationMode","DisplayType","Resolution","ScreenSize","ScreenSizeUnitOfMeasure","PowerSource","MaximumUserWeight","MaximumUserWeightUnitOfMeasure","DisplayFeatures","UsageCapacity","UsageCapacityUnitOfMeasure","NumberOfLevels","WhatsInTheBox","CourseCapacity","AvailableCourses","ScreenColor","ThreadSize","LoadCapacity","LoadCapacityUnitOfMeasure","PositionAccuracy","Memory","MemoryUnitOfMeasure","DisplaySize","DisplaySizeUnitOfMeasure","Pixels","CompatibleDevices","MinimumWeightRecommendation","MinimumWeightRecommendationUnitOfMeasure","MaxWeightRecommendation","MaxWeightRecommendationUnitOfMeasure","CoverageArea","CoverageAreaUnitOfMeasure","PeakHeight","PeakHeightUnitOfMeasure","MaximumWeight","MaximumWeightUnitOfMeasure","Capability","ClosureType","Construction","CountryOfOrigin","Design","EventName","FabricType","SpecialFeatures","Functions","LegalDisclaimer","Material","PackageQuantity","Packaging","Season","SizeMap","SizeName","SkillLevel","Sport","StyleName","SpecificUsageForProduct","Diameter","DiameterUnitOfMeasurement","Height","HeightUnitOfMeasurement","Length","LengthUnitOfMeasurement","Width","WidthUnitOfMeasurement","ItemThickness","ItemThicknessUnitOfMeasurement","Weight","WeightUnitOfMeasurement","PPUCount","PPUCountType","AreBatteriesIncluded","AreBatteriesRequired","BatteryType1","BatteryType2","BatteryType3","NumberOfBatteries1","NumberOfBatteries2","NumberOfBatteries3","BatteryLife1","BatteryLife2","BatteryLife3","BatteryLifeUnitOfMeasure1","BatteryLifeUnitOfMeasure2","BatteryLifeUnitOfMeasure3","LithiumBatteryEnergyContent","LithiumBatteryPackaging","LithiumBatteryVoltage","LithiumBatteryWeight","NumberOfLithiumIonCells","NumberOfLithiumMetalCells","IsGiftMessageAvailable","IsGiftWrapAvailable","IsDiscontinuedByManufacturer","RegisteredParameter","UpdateDelete"
"HDHRGL05",845678068088,"UPC","Tour Edge Ladies Bazooka HT Max-D Hybrid (Right Hand, #5, Women, Aldila NV 65 Graphite)",,"Tour Edge","HDHRGL05",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Womens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-WMN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Women",25,,,"Right",37.25,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDHRGL06",845678068095,"UPC","Tour Edge Ladies Bazooka HT Max-D Hybrid (Right Hand, #6, Women, Aldila NV 65 Graphite)",,"Tour Edge","HDHRGL06",,,,,,,"Tour Edge",99.99,"USD","new",,0,,99.99,,,,,3,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-clubs","golf",,,,,"Womens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-HY-WMN","variation","HandShaftMaterialGolfFlexGolfLoft",,,,,,,,,,,"Women",28,,,"Right",36.75,"in","Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TE-MXD4SW-COM-MN",,,"Tour Edge Men's Bazooka HT Max-D Combo Set 4-5 HY/6-SW","The Tour Edge Men's Bazooka HT Max-D Combo Set brings distance and accuracy perfectly combined with its two hybrids (4H, 5H) and six irons (6-SW).
""This classic pear-shaped hybrid offers stunning good looks, an aerodynamic design and advanced weighting to deliver a higher moment of inertia (MOI, the club’s ability to resist twisting and impart greater force). The Bazooka features two internal weight cavities in the heel and toe that lower the center of gravity and move it deeper in the club head for a high launch and great forgiveness.
The set’s progressive design can be seen in each iron’s different blade length, face height, top line, offset, bounce and MOI. This optimizes the club’s performance in distance, trajectory, spin, bounce, forgiveness and accuracy.""","Tour Edge",,"The mid iron # 6 features a shorter blade length, less offset, more bounce and a smaller top line and sole for greater workability and shot making. ","The scoring irons (8-SW) feature a smaller undercut cavity, the least offset, the most bounce and a slightly larger sole than the mid irons for shots that get up quickly and stick close to the pin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"golf-hybrid-club-sets","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDSLGA26",845678070036,"UPC","Tour Edge Men's Bazooka HT Max-D Combo Set 4-5 HY/6-SW (Left Hand, Aldila NV 65 Graphite, Senior)",,"Tour Edge","HDSLGA26",,,,,,,"Tour Edge",499.99,"USD","new",,0,,499.99,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-club-sets","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-MXD4SW-COM-MN","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Senior",,,,"Left",,,"Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDSRGA26",845678070296,"UPC","Tour Edge Men's Bazooka HT Max-D Combo Set 4-5 HY/6-SW (Right Hand, Aldila NV 65 Graphite, Senior)",,"Tour Edge","HDSRGA26",,,,,,,"Tour Edge",499.99,"USD","new",,0,,499.99,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-club-sets","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-MXD4SW-COM-MN","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Senior",,,,"Right",,,"Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDSRSA26",845678070432,"UPC","Tour Edge Men's Bazooka HT Max-D Combo Set 4-5 HY/6-SW (Right Hand, True Temper Dynalite Gold Steel, Senior)",,"Tour Edge","HDSRSA26",,,,,,,"Tour Edge",399.99,"USD","new",,0,,399.99,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-club-sets","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-MXD4SW-COM-MN","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Senior",,,,"Right",,,"True Temper Dynalite Gold Steel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDSLGL26",845678070074,"UPC","Tour Edge Ladies Bazooka HT Max-D Combo Set (Left Hand, Aldila NV 65 Graphite, Women)",,"Tour Edge","HDSLGL26",,,,,,,"Tour Edge",499.99,"USD","new",,0,,499.99,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-club-sets","golf",,,,,"Womens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-COM-WMN","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Women",,,,"Left",,,"Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDSRGL26",845678070333,"UPC","Tour Edge Ladies Bazooka HT Max-D Combo Set (Right Hand, Aldila NV 65 Graphite, Women)",,"Tour Edge","HDSRGL26",,,,,,,"Tour Edge",499.99,"USD","new",,0,,499.99,,,,,9,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-hybrid-club-sets","golf",,,,,"Womens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-COM-WMN","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Women",,,,"Right",,,"Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TE-HTMXD-IR5SW-MN",,,"Tour Edge Men's Bazooka HT Max-D 5-SW Iron Set","The new and improved head design of the Tour Edge HT Max-D irons combined with variable progression throughout the entire set make this Bazooka a remarkable set of irons. The set’s progressive design can be seen in each iron’s different blade length, face height, top line, offset, bounce and MOI. This optimizes the club’s performance in distance, trajectory, spin, bounce, forgiveness and accuracy. ","Tour Edge",,"The long iron 5 features a wider, hybrid-like blade length, thicker sole, and progressive undercut cavity for greater forgiveness and higher-flying shots. The iron's larger top line, offset club head and minimal bounce inspire confidence even from the most difficult lie.","The mid irons (6-7) feature a shorter blade length, less offset, more bounce and a smaller top line and sole for greater workability and shot making. ","Finally, the scoring irons (8-SW) feature a smaller undercut cavity, the least offset, the most bounce and a slightly larger sole than the mid irons for shots that get up quickly and stick close to the pin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Parent",,,"HandShaftMaterialGolfFlex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HDSLGA5S",845678070050,"UPC","Tour Edge Men's Bazooka HT Max-D 5-SW Iron Set (Left Hand, Aldila NV 65 Graphite, Senior)",,"Tour Edge","HDSLGA5S",,,,,,,"Tour Edge",349.99,"USD","new",,0,,349.99,,,,,8,"LB","A_GEN_NOTAX",,,,,,,,,,,,"golf-club-iron-sets","golf",,,,,"Mens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Child","TE-HTMXD-IR5SW-MN","variation","HandShaftMaterialGolfFlex",,,,,,,,,,,"Senior",,,,"Left",,,"Aldila NV 65 Graphite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
